hora_utc,estacion,mm
2026-09-23 18:00,chaihuin,0.5
2026-09-23 18:00,corral,2.6
2026-09-23 18:00,corral_essal,5.5
2026-09-23 18:00,curinanco,1.5
2026-09-23 18:00,islateja,3.3
2026-09-23 18:00,las_lomas,5.8
2026-09-23 18:00,llancahue,3.6
2026-09-23 18:00,pichoy,5.0
2026-09-23 19:00,austral,4.1
2026-09-23 19:00,chaihuin,0.9
2026-09-23 19:00,corral,4.0
2026-09-23 19:00,corral_essal,3.3
2026-09-23 19:00,curinanco,3.7
2026-09-23 19:00,islateja,5.1
2026-09-23 19:00,las_lomas,4.0
2026-09-23 19:00,llancahue,4.0
2026-09-23 19:00,pichoy,5.2
2026-09-23 20:00,austral,5.9
2026-09-23 20:00,chaihuin,1.7
2026-09-23 20:00,corral,1.3
2026-09-23 20:00,corral_essal,3.9
2026-09-23 20:00,curinanco,3.0
2026-09-23 20:00,islateja,5.4
2026-09-23 20:00,las_lomas,5.2
2026-09-23 20:00,llancahue,4.2
2026-09-23 20:00,pichoy,5.2
2026-09-23 21:00,austral,2.3
2026-09-23 21:00,chaihuin,0.1
2026-09-23 21:00,corral,0.2
2026-09-23 21:00,corral_essal,2.9
2026-09-23 21:00,curinanco,0.4
2026-09-23 21:00,islateja,1.1
2026-09-23 21:00,las_lomas,2.9
2026-09-23 21:00,llancahue,1.2
2026-09-23 21:00,pichoy,1.4
2026-09-23 22:00,austral,5.0
2026-09-23 22:00,chaihuin,0.9
2026-09-23 22:00,corral,5.8
2026-09-23 22:00,corral_essal,2.6
2026-09-23 22:00,curinanco,8.1
2026-09-23 22:00,islateja,6.8
2026-09-23 22:00,las_lomas,3.4
2026-09-23 22:00,llancahue,5.4
2026-09-23 22:00,pichoy,6.8
2026-09-23 23:00,austral,6.5
2026-09-23 23:00,chaihuin,2.1
2026-09-23 23:00,corral,4.2
2026-09-23 23:00,corral_essal,2.0
2026-09-23 23:00,curinanco,2.7
2026-09-23 23:00,islateja,5.9
2026-09-23 23:00,las_lomas,6.3
2026-09-23 23:00,llancahue,5.2
2026-09-23 23:00,pichoy,6.8
2026-09-24 00:00,austral,7.5
2026-09-24 00:00,chaihuin,1.4
2026-09-24 00:00,corral,4.7
2026-09-24 00:00,corral_essal,4.7
2026-09-24 00:00,curinanco,5.2
2026-09-24 00:00,islateja,7.8
2026-09-24 00:00,las_lomas,5.1
2026-09-24 00:00,llancahue,5.3
2026-09-24 00:00,pichoy,8.0
2026-09-24 01:00,austral,5.8
2026-09-24 01:00,chaihuin,1.3
2026-09-24 01:00,corral,4.0
2026-09-24 01:00,corral_essal,2.0
2026-09-24 01:00,curinanco,2.7
2026-09-24 01:00,islateja,4.6
2026-09-24 01:00,las_lomas,4.5
2026-09-24 01:00,llancahue,3.4
2026-09-24 01:00,pichoy,4.2
2026-09-24 02:00,austral,4.8
2026-09-24 02:00,chaihuin,1.4
2026-09-24 02:00,corral,3.3
2026-09-24 02:00,corral_essal,1.3
2026-09-24 02:00,curinanco,2.0
2026-09-24 02:00,islateja,4.5
2026-09-24 02:00,las_lomas,1.8
2026-09-24 02:00,llancahue,3.0
2026-09-24 02:00,pichoy,2.0
2026-09-24 03:00,austral,3.9
2026-09-24 03:00,chaihuin,0.9
2026-09-24 03:00,corral,2.3
2026-09-24 03:00,corral_essal,3.9
2026-09-24 03:00,curinanco,2.8
2026-09-24 03:00,islateja,5.3
2026-09-24 03:00,las_lomas,2.1
2026-09-24 03:00,llancahue,2.7
